dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-oblivionis,AS,2,,3,"42,43,44",0.33239134574049184,0.16362620189946872,0.33239134574049184,0.16362620189946872,0.5420921478639302,0.04838196542310854,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.19585331281026205,0.011142998240759212
20newsgroups,d-oblivionis,AS,3,,3,"42,43,44",0.4243835793835794,0.03437902720741876,0.42438357938357935,0.03437902720741878,0.5783254928765765,0.013419825283766656,0.8095863240339504,0.06454323570886872,0.39829066236055677,0.03155856380214364,0.16690544432771365,0.07253771140343489,0.2356752554575602,0.033451741109102054
20newsgroups,d-oblivionis,AS,4,,3,"42,43,44",0.462622788431612,0.014173592466500585,0.42874681128620434,0.017863369763002866,0.5415441615242588,0.03628023339998525,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.24620413780212402,0.03113996084142296
20newsgroups,d-oblivionis,AS,5,,3,"42,43,44",0.5133260687246194,0.03485626521203717,0.44316456196204934,0.032307800231792506,0.5692032985442982,0.03733417945272184,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.22263113657633463,0.035095748801383504
20newsgroups,d-oblivionis,AS,6,,3,"42,43,44",0.4762283423204476,0.023978448908980054,0.43987198278080125,0.0198939216730696,0.5443172697042665,0.01006038459133246,0.3432411094332544,0.038339508080612206,0.14326661465807217,0.01796280249204623,0.116856363967115,0.027837653103649593,0.18563763300577799,0.02842275481619893
20newsgroups,d-oblivionis,AS,7,,3,"42,43,44",0.515914862914863,0.02387457753855605,0.43618397742365594,0.011707472000798325,0.5414424188449588,0.011856285118422584,0.22017089808382223,0.05250970356196759,0.12127832824761127,0.01738936289813555,0.10563011161633463,0.028066457060894064,0.11913442611694336,0.007561078370412161
20newsgroups,d-oblivionis,AS,8,,3,"42,43,44",0.5086403668371632,0.02485535147672424,0.4320216408583479,0.012131236506314471,0.5281827962444946,0.0025817889431225764,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.09077246983846028,0.013577272098147868
20newsgroups,d-oblivionis,AS,9,,3,"42,43,44",0.4852813852813852,0.031848970508744356,0.42412917191664506,0.019923293494696345,0.5465767877237728,0.012724530955600952,2.1206994493816467e-15,1.600457201381835e-15,9.853229343548264e-16,8.505359404188939e-16,0.11558977233808167,0.022893532930897968,0.005268414815266927,0.00019387602438579926
20newsgroups,d-oblivionis,LS,,0.1,3,"42,43,44",0.607079901093059,0.00625422069653762,0.5663878866136348,0.005434385037859645,0.5772925331748862,0.0278274095022038,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.2,3,"42,43,44",0.6015604096912147,0.008414227707422004,0.5581962794273596,0.016278588357082787,0.5694989284035429,0.028026325130555745,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.3,3,"42,43,44",0.5479846433522904,0.017969784860216397,0.49313192916220094,0.006477834236118419,0.5628853490714025,0.020791214014719325,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.4,3,"42,43,44",0.5425227031883378,0.028444073596443603,0.47408821104796256,0.0028412404375307053,0.5573719262647465,0.02049902687700807,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.5,3,"42,43,44",0.5261254729675783,0.01444959836031172,0.4702462363170399,0.014788364444229448,0.5543984029904715,0.014152216751602761,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.6,3,"42,43,44",0.5247618787388608,0.010279069922849514,0.45448994013605293,0.021615627281610043,0.5505708184390183,0.009883156742585305,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.7,3,"42,43,44",0.4946828707355023,0.015627540065778597,0.42497461949796317,0.012746637598552242,0.5491429852110966,0.010722230567344157,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.8,3,"42,43,44",0.5039496325130327,0.009410878419125197,0.4258286313117044,0.017046567095509044,0.5410296672275148,0.003899191799069554,,,,,,,,
20newsgroups,d-oblivionis,LS,,0.9,3,"42,43,44",0.4870673462817426,0.01859957567612324,0.4255186705288172,0.009308700304647087,0.5444561946699643,0.0060865857887561605,,,,,,,,
20newsgroups,d-oblivionis,LS,,1.0,3,"42,43,44",0.4724373584899901,0.011731197706066095,0.4188483090816202,0.008845621537003807,0.551942495942201,0.00862916537153646,,,,,,,,
yahoo_subset,d-federaser,AS,1,,3,"42,43,44",0.5846203376722289,0.014605508226170889,0.5846203376722289,0.014605508226170889,0.4945,0.06209675246473575,2.1785280183940876,0.40439105546163845,0.5775215124266393,0.1063383974574826,0.014247980409271352,0.003480737655946051,0.014925718307495117,0.00025737511074473885
yahoo_subset,d-federaser,AS,2,,3,"42,43,44",0.6345339060213462,0.042824780602213466,0.6345339060213462,0.042824780602213466,0.5169666666666667,0.0881298410805834,1.180326565877363,0.20099122427048,0.4418019887525155,0.06782694921671503,0.0751023683024334,0.00828277426899331,0.19876368840535483,0.016840277659873927
yahoo_subset,d-federaser,AS,3,,3,"42,43,44",0.6581926704170165,0.018101197622155153,0.6581926704170165,0.018101197622155153,0.4777222222222222,0.08546687611923258,0.7359371020772195,0.02517712061177268,0.3134774738360333,0.008999741274698988,0.05807988967383558,0.0223655115496825,0.17936293284098306,0.022166763776252197
yahoo_subset,d-federaser,AS,4,,3,"42,43,44",0.6707881601058712,0.01062885442674908,0.6554344320136157,0.01367839638447631,0.47345833333333337,0.07457750535889195,0.6347752169721309,0.008546068670973258,0.16841443724329755,0.022368955581569965,0.08285939653858493,0.02354919154864508,0.18233728408813477,0.016803406999330594
yahoo_subset,d-federaser,AS,5,,3,"42,43,44",0.6853770857645097,0.01738589023502545,0.6531119057266278,0.028485461475185506,0.4772533333333333,0.058146509974565275,0.45150090737373505,0.016646825493499946,0.15889516332431236,0.029104451211613896,0.10808384454353598,0.00314725605105742,0.14542531967163086,0.019305765141428573
yahoo_subset,d-federaser,AS,6,,3,"42,43,44",0.6783540459624956,0.01703075402196147,0.6412192887292951,0.026829615194974947,0.47444444444444445,0.05788075278717338,0.369329791533979,0.03308475320120906,0.12172298316745944,0.024623408299129845,0.11000245336580067,0.013464626981708581,0.14779996871948242,0.009744013209205694
yahoo_subset,d-federaser,AS,7,,3,"42,43,44",0.6787431314059842,0.013475311269679525,0.6436805890934582,0.016693737160387745,0.475547619047619,0.05295628839642768,0.24536821525385552,0.042506622479645505,0.07675509467598336,0.018096469644314335,0.11018582017987004,0.007353372098721505,0.14424260457356772,0.07029606390161912
yahoo_subset,d-federaser,AS,8,,3,"42,43,44",0.6725409362959055,0.02281134214262954,0.6372838401550623,0.02689458598430903,0.4772583333333333,0.04982339679363058,0.17185862028179477,0.018713598452347834,0.0337305134708837,0.010751056121277646,0.11445270300519085,0.006095866288916567,0.1538538138071696,0.05044115401414045
yahoo_subset,d-federaser,AS,9,,3,"42,43,44",0.6873491966309911,0.005749709786604303,0.6392263458629102,0.017230992135968806,0.4779814814814815,0.05378780464630818,8.870219373828073e-16,5.155706605893566e-16,2.0816681711721685e-16,1.3738309013483032e-16,0.1071393158984705,0.006592600447763153,0.008691231409708658,0.002572368791756778
